ID,match_date,stage,team1,team1_code,team2,team2_code,expected_goals_team1,expected_goals_team2,home_stadium_team1,home_stadium_team2,fifa_ranking_team1,fifa_ranking_team2,prob_team1_win,prob_team2_win,prob_draw,actual_goals_team1,actual_goals_team2,actual_winner
1,2022-11-20,Group stage,Qatar,164,Ecuador,63,0.0,1.0,1,0,50,44,2.02,83.52,14.46,0.0,2.0,Ecuador
2,2022-11-21,Group stage,Senegal,178,Netherlands,142,1.8,1.69,0,0,18,8,18.05,14.54,67.41,0.0,2.0,Netherlands
3,2022-11-21,Group stage,England,66,Iran,100,1.26,0.56,0,0,5,20,8.73,10.21,81.06,6.0,2.0,England
4,2022-11-22,Group stage,United States,213,Wales,221,1.15,0.5,0,0,16,19,87.35,1.63,11.02,1.0,1.0,Draw
5,2022-11-23,Group stage,France,75,Australia,12,1.7,1.09,0,0,4,38,96.67,0.81,2.51,4.0,1.0,France
6,2022-11-22,Group stage,Denmark,57,Tunisia,207,1.44,1.0,0,0,10,30,15.48,11.1,73.42,0.0,0.0,Draw
7,2022-11-22,Group stage,Mexico,133,Poland,161,1.08,1.17,0,0,13,26,10.52,11.32,78.16,0.0,0.0,Draw
8,2022-11-22,Group stage,Argentina,9,Saudi Arabia,176,1.54,0.6,0,0,3,51,93.28,2.93,3.79,1.0,2.0,Saudi Arabia
9,2022-11-24,Group stage,Belgium,20,Canada,36,1.29,0.0,0,0,2,41,93.28,1.91,4.81,1.0,0.0,Belgium
10,2022-11-23,Group stage,Spain,191,Costa Rica,50,1.49,0.91,0,0,7,31,16.62,10.54,72.84,7.0,0.0,Spain
11,2022-11-23,Group stage,Germany,82,Japan,106,2.05,1.08,0,0,11,24,95.37,1.38,3.24,1.0,2.0,Japan
12,2022-11-23,Group stage,Morocco,137,Croatia,51,0.67,1.35,0,0,22,12,9.16,20.93,69.91,0.0,0.0,Draw
13,2022-11-24,Group stage,Switzerland,196,Cameroon,35,1.29,0.58,0,0,15,43,10.97,12.07,76.97,1.0,0.0,Switzerland
14,2022-11-24,Group stage,Uruguay,215,South Korea,189,1.19,0.86,0,0,14,28,15.31,10.85,73.84,0.0,0.0,Draw
15,2022-11-24,Group stage,Portugal,162,Ghana,83,1.22,1.1,0,0,9,61,18.11,9.82,72.08,3.0,2.0,Portugal
16,2022-11-25,Group stage,Brazil,28,Serbia,179,1.96,0.5,0,0,1,21,97.22,0.13,2.66,2.0,0.0,Brazil
17,2022-11-25,Group stage,Iran,100,Wales,221,0.7,0.67,0,0,20,19,10.84,18.94,70.23,2.0,0.0,Iran
18,2022-11-25,Group stage,Qatar,164,Senegal,178,0.0,1.5,1,0,50,18,2.06,90.48,7.45,1.0,3.0,Senegal
19,2022-11-25,Group stage,Netherlands,142,Ecuador,63,1.69,1.11,0,0,8,44,98.03,0.77,1.2,1.0,1.0,Draw
20,2022-11-26,Group stage,England,66,United States,213,1.37,1.14,0,0,5,16,9.14,3.82,87.04,0.0,0.0,Draw
21,2022-11-26,Group stage,Tunisia,207,Australia,12,0.91,1.08,0,0,30,38,6.02,11.18,82.8,0.0,1.0,Australia
22,2022-11-26,Group stage,Poland,161,Saudi Arabia,176,1.12,0.73,0,0,26,51,16.02,11.9,72.08,2.0,0.0,Poland
23,2022-11-26,Group stage,France,75,Denmark,57,1.76,1.35,0,0,4,10,96.61,1.6,1.79,2.0,1.0,France
24,2022-11-27,Group stage,Argentina,9,Mexico,133,1.53,1.05,0,0,3,13,97.6,0.39,2.01,2.0,0.0,Argentina
25,2022-11-27,Group stage,Japan,106,Costa Rica,50,1.14,0.83,0,0,24,31,8.59,10.09,81.32,0.0,1.0,Costa Rica
26,2022-11-27,Group stage,Belgium,20,Morocco,137,1.29,0.62,0,0,2,22,17.75,13.9,68.35,0.0,2.0,Morocco
27,2022-11-27,Group stage,Croatia,51,Canada,36,1.28,0.0,0,0,12,41,85.33,1.15,13.52,4.0,1.0,Croatia
28,2022-11-28,Group stage,Spain,191,Germany,82,1.64,2.03,0,0,7,11,10.6,14.45,74.96,1.0,1.0,Draw
29,2022-11-28,Group stage,Serbia,179,Cameroon,35,0.44,0.54,0,0,21,43,2.57,80.8,16.63,3.0,3.0,Draw
30,2022-11-28,Group stage,South Korea,189,Ghana,83,0.82,1.18,0,0,28,61,8.42,20.78,70.8,2.0,3.0,Ghana
