team_id,team_name,goals_as_team1,matches_as_team1,goals_as_team2,matches_as_team2,avg_goal
9,Argentina,68,36,15,16,1.6
12,Australia,7,4,9,11,1.07
20,Belgium,24,14,21,23,1.22
28,Brazil,88,42,30,19,1.93
35,Cameroon,3,5,8,10,0.73
36,Canada,1,2,1,2,0.5
50,Costa Rica,5,5,8,9,0.93
51,Croatia,11,8,18,15,1.26
57,Denmark,14,11,10,8,1.26
63,Ecuador,4,3,7,7,1.1
66,England,46,25,20,22,1.4
75,France,55,25,26,21,1.76
82,Germany,95,45,44,23,2.04
83,Ghana,4,5,12,8,1.23
100,Iran,3,4,6,8,0.75
106,Japan,11,11,8,6,1.12
133,Mexico,10,10,33,31,1.05
137,Morocco,2,8,11,11,0.68
142,Netherlands,36,21,33,19,1.73
161,Poland,20,12,11,16,1.11
162,Portugal,31,15,9,13,1.43
164,Qatar,1,3,0,0,0.33
176,Saudi Arabia,3,4,6,9,0.69
178,Senegal,3,2,11,7,1.56
179,Serbia,6,6,3,5,0.82
189,South Korea,13,13,10,12,0.92
191,Spain,33,19,28,21,1.53
196,Switzerland,19,10,13,15,1.28
207,Tunisia,8,6,3,7,0.85
213,United States,13,10,13,14,1.08
215,Uruguay,29,21,10,13,1.15
221,Wales,0,0,2,5,0.4
